CGPA,Attendance,Coding_Score,Projects,Placed
6.09,74,36,1,0
5.41,65,84,1,0
8.08,79,82,3,1
7.38,62,71,0,0
6.12,51,54,4,0
7.28,74,34,5,1
5.47,54,69,4,0
5.52,53,63,1,0
7.39,91,86,1,1
8.88,88,28,4,1
7.35,62,38,6,1
7.19,87,76,2,1
6.71,77,37,1,0
5.47,94,60,5,1
9.56,81,84,4,1
6.48,72,87,2,1
8.15,82,89,1,1
6.17,50,57,2,0
6.28,77,52,3,0
9.0,76,42,5,1
5.56,92,23,1,0
6.44,50,68,2,0
7.73,64,37,3,1
7.14,76,30,4,0
6.39,56,24,0,0
8.67,83,66,1,1
7.34,59,97,0,0
5.08,58,63,3,0
5.58,69,64,2,0
5.01,81,46,0,0
5.16,98,94,1,0
6.62,77,76,0,0
5.96,64,83,6,1
8.79,74,35,0,1
8.46,91,36,5,1
7.47,55,80,4,1
8.92,79,48,0,0
5.23,57,33,1,0
8.4,89,22,5,1
8.98,83,31,5,1
7.41,95,92,1,1
6.1,83,69,5,1
8.11,50,57,4,1
9.36,97,61,3,1
8.04,55,90,3,1
8.87,97,61,4,1
8.0,72,57,5,1
5.94,73,68,4,0
5.99,75,98,3,1
9.49,96,65,6,1
7.81,93,74,1,1
8.95,82,30,2,1
5.33,96,54,3,0
8.0,67,57,2,1
6.29,90,72,1,0
6.18,65,84,5,1
6.2,88,87,6,1
6.77,99,33,6,1
6.86,91,41,6,1
9.77,52,37,0,1
5.92,66,31,0,0
7.21,92,56,4,1
5.61,72,28,2,0
9.01,55,37,5,1
9.78,54,49,5,1
7.88,70,48,2,1
9.64,54,86,0,1
6.67,60,40,2,0
5.71,96,28,0,0
6.07,68,42,2,0
5.52,53,27,4,0
8.96,85,61,2,1
8.53,80,34,4,1
9.79,97,36,1,1
6.05,61,41,1,0
5.29,78,94,5,1
6.38,77,94,5,1
8.32,95,82,6,1
8.53,99,87,1,1
6.28,80,36,6,0
7.4,82,88,6,1
6.39,63,92,4,1
8.68,81,80,0,1
6.89,52,67,4,1
6.67,94,23,4,0
8.99,50,30,6,1
7.15,58,74,4,1
7.78,56,67,4,1
9.74,95,67,2,1
9.54,91,33,3,1
8.1,80,66,4,1
9.48,98,74,2,1
8.22,97,38,5,1
6.5,52,49,4,0
7.32,80,91,1,1
5.67,67,22,6,0
8.56,87,53,3,1
6.39,81,77,5,1
5.43,91,76,2,0
7.78,97,33,2,1
8.2,73,80,4,1
5.98,83,95,1,0
7.42,52,31,4,0
6.04,90,71,2,0
9.59,50,24,3,1
6.52,51,20,5,0
8.54,86,58,5,1
5.05,63,62,2,0
6.99,50,32,4,0
5.97,98,73,0,0
7.43,54,38,5,1
9.49,77,26,2,1
8.33,62,23,2,0
8.69,70,40,1,0
6.91,94,59,2,1
7.51,88,22,3,0
8.38,94,47,1,0
8.88,91,83,1,1
6.15,55,75,2,0
8.96,85,83,3,1
